class,score,x1,y1,x2,y2
1,0.6636999249458313,775,408,876,460
1,0.6086710691452026,773,277,870,329
1,0.5135955810546875,774,539,870,594
5,0.6587637662887573,227,167,648,573
9,0.5012861490249634,438,464,459,483
