epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/solder,val/AP/solder-chip,val/AP/solder-large,val/AP/solder-long,val/AP/solder-middle,val/AP/solder-pin,val/AP/solder-square,val/AP/throughhole,val/AP/voids,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7699015140533447,0.07574257254600525,0.0,0.590099036693573,0.0,0.47147974371910095,0.6516110897064209,0.6894431710243225,0.028721842914819717,0.5133371949195862,60.71052551269531,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,20.047367095947266,0.5244218111038208,0.3598731756210327,0.3898702561855316,0.5097916722297668,0.3710033595561981,18.9967098236084,0.06550021469593048,0.07091248035430908,0.06924042850732803,0.06742342561483383,0.07352534681558609,0.27319905161857605,0.3019489347934723,0.2778940200805664,0.27549001574516296,0.2843971252441406,0.7260335087776184,0.7365676760673523,0.7288740277290344,0.7277941703796387,0.7549009919166565,0.012607556767761707,0.02345489151775837,0.01662382297217846,0.020585909485816956,0.02271115407347679,0.07844281196594238,0.1089300587773323,0.09510280936956406,0.09662631899118423,0.09505727142095566,0.5187401175498962,0.3641110062599182,0.4172506332397461,0.40759873390197754,0.5674437284469604,0.5083587765693665,0.516470193862915,0.37805092334747314
0,81,1185.268310546875,1189.268310546875,1187.0853271484375,1185.9207763671875,1186.3597412109375,63.97560501098633,23.93868637084961,0.1417303830385208,0.1565038561820984,0.14910677075386047,0.14491836726665497,0.1587468981742859,0.24211129546165466,0.24347828328609467,0.24284043908119202,0.2400403618812561,0.23994334042072296,0.9260035157203674,0.9605419635772705,0.9448211193084717,0.934162437915802,0.9707493782043457,0.027784964069724083,0.04538734629750252,0.03270013630390167,0.02989855408668518,0.0487854927778244,0.14304037392139435,0.15760058164596558,0.14854492247104645,0.14579981565475464,0.15426476299762726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7687506079673767,0.5057425498962402,0.07574257254600525,0.8085808753967285,0.1218646839261055,0.6231332421302795,0.8949257135391235,0.8331010341644287,0.0506359227001667,0.6279804110527039,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,6.2269287109375,0.6489531397819519,0.4983859062194824,0.5337471961975098,0.6428431868553162,0.4882841408252716,18.630661010742188,0.05141877755522728,0.0531596839427948,0.052324820309877396,0.05179556459188461,0.05666545778512955,0.3222472667694092,0.3737335205078125,0.339728444814682,0.3236027956008911,0.3618754744529724,0.6283077001571655,0.6446030139923096,0.6384315490722656,0.6339989304542542,0.6628309488296509,0.007418843451887369,0.009229052811861038,0.007491579279303551,0.007487193681299686,0.011544965207576752,0.073750339448452,0.0904979333281517,0.08243193477392197,0.07390732318162918,0.09255257248878479,0.6888704299926758,0.5202752351760864,0.6224426627159119,0.5677009224891663,0.6632850170135498,0.6291919946670532,0.6823527216911316,0.5278788805007935
1,163,1197.731689453125,1197.780517578125,1197.780517578125,1197.780517578125,1197.780517578125,10.932284355163574,20.804288864135742,0.06401580572128296,0.0693402886390686,0.06592310220003128,0.06518759578466415,0.07174352556467056,0.3614095151424408,0.3868664801120758,0.3692989945411682,0.36205631494522095,0.37733450531959534,0.7011698484420776,0.7225891351699829,0.7134256362915039,0.7046051621437073,0.7312014698982239,0.011031745001673698,0.015726033598184586,0.012592186219990253,0.012062524445354939,0.01639406941831112,0.08376630395650864,0.10098949074745178,0.09112611413002014,0.08615349233150482,0.10864398628473282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78529292345047,0.4267326593399048,0.0,0.8346534371376038,0.0,0.6884272694587708,0.898718535900116,0.8324530720710754,0.05821012705564499,0.6546165943145752,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,6.647463798522949,0.6786195635795593,0.5307091474533081,0.5460526347160339,0.6717667579650879,0.5305017828941345,18.257314682006836,0.044677652418613434,0.04652678221464157,0.044911857694387436,0.04443895444273949,0.049329500645399094,0.34283342957496643,0.3644430339336395,0.3506683111190796,0.34229984879493713,0.3692726790904999,0.5995743870735168,0.6248390078544617,0.6123445630073547,0.6057337522506714,0.6342453956604004,0.006397250574082136,0.007711630780249834,0.005677483975887299,0.006268528290092945,0.00884932279586792,0.07548350840806961,0.08369027078151703,0.0703076496720314,0.06495334953069687,0.09202718734741211,0.670240581035614,0.5027208924293518,0.5464210510253906,0.5263137817382812,0.7643767595291138,0.6275115609169006,0.6640052795410156,0.5185550451278687
2,245,1198.8414306640625,1198.8597412109375,1198.8597412109375,1198.8597412109375,1198.8597412109375,6.2341837882995605,20.631118774414062,0.051621776074171066,0.054745353758335114,0.052781227976083755,0.0523950457572937,0.05798245221376419,0.3979059159755707,0.4389958381652832,0.4097931981086731,0.3985326290130615,0.427604615688324,0.6334314346313477,0.6568998098373413,0.6481290459632874,0.6401293873786926,0.6664022207260132,0.009002214297652245,0.012379503808915615,0.010387233458459377,0.009571989066898823,0.012843653559684753,0.0767018049955368,0.09362563490867615,0.08216722309589386,0.07854428142309189,0.10064388811588287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7508226037025452,0.6227722764015198,0.0,0.7838283777236938,0.0,0.6188451647758484,0.8156850337982178,0.849361777305603,0.07358711957931519,0.6836916208267212,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.71052551269531,1.76323664188385,0.7204842567443848,0.5846339464187622,0.6295931339263916,0.7122793793678284,0.5786735415458679,18.828393936157227,0.028345149010419846,0.031295906752347946,0.02966546081006527,0.028471730649471283,0.03603493049740791,0.3997272253036499,0.4131626784801483,0.39966610074043274,0.4014585316181183,0.4250071048736572,0.5645135641098022,0.5829533934593201,0.5796699523925781,0.5734346508979797,0.6056073904037476,0.0063246749341487885,0.01137737650424242,0.00821713823825121,0.0073343305848538876,0.009914408437907696,0.06151959300041199,0.07913097739219666,0.07384593784809113,0.07035287469625473,0.0823550894856453,0.6837207078933716,0.5016558170318604,0.5856640934944153,0.5201365947723389,0.7189382314682007,0.6741830110549927,0.6731541752815247,0.5419749021530151
3,327,1199.0244140625,1199.030517578125,1199.030517578125,1199.0244140625,1199.03662109375,5.233431339263916,20.168344497680664,0.043725088238716125,0.04721797630190849,0.045460544526576996,0.044604409486055374,0.04980891942977905,0.4103914499282837,0.4532611072063446,0.4218408167362213,0.4121839106082916,0.4418254494667053,0.5862563848495483,0.6065258383750916,0.5987640619277954,0.5919563174247742,0.6137897968292236,0.007230271585285664,0.009752918966114521,0.007780070882290602,0.007545726839452982,0.010617448017001152,0.07269351184368134,0.09199582785367966,0.0811561867594719,0.07475978881120682,0.10090000182390213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033143877983093,0.8999999761581421,0.07574257254600525,0.8693069219589233,0.5599340200424194,0.7341389656066895,0.8292389512062073,0.8192158341407776,0.07772471010684967,0.7814691066741943,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,2.7410542964935303,0.7890753149986267,0.6512488126754761,0.6981996893882751,0.7811371684074402,0.6310816407203674,18.303436279296875,0.03180379793047905,0.03087753988802433,0.030479930341243744,0.032049309462308884,0.034447334706783295,0.38161078095436096,0.40965116024017334,0.3883856236934662,0.37908175587654114,0.41693106293678284,0.5384575724601746,0.5649956464767456,0.5536342263221741,0.5441545844078064,0.5854013562202454,0.004858541768044233,0.007317541632801294,0.006103802938014269,0.005768562201410532,0.007865243591368198,0.061669085174798965,0.08220883458852768,0.07633883506059647,0.07283405214548111,0.08574733883142471,0.788684070110321,0.6298462748527527,0.7314843535423279,0.6760738492012024,0.8480650782585144,0.7594407200813293,0.7862160801887512,0.6212398409843445
4,409,1199.1036376953125,1199.1646728515625,1199.1646728515625,1199.1646728515625,1199.1524658203125,4.186417579650879,20.058305740356445,0.04102465137839317,0.04350090026855469,0.04182111471891403,0.041386060416698456,0.046096570789813995,0.42222294211387634,0.4553579092025757,0.4329758286476135,0.4231952428817749,0.4471084177494049,0.5796100497245789,0.5997803211212158,0.5925912857055664,0.5839240550994873,0.6092894673347473,0.006667411886155605,0.008953903801739216,0.0074489605613052845,0.006961666978895664,0.009794789366424084,0.06864331662654877,0.0826665386557579,0.07530766725540161,0.07122904807329178,0.09322094917297363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7922465801239014,1.0,0.35346534848213196,0.8628712892532349,0.2849009931087494,0.7127189636230469,0.9150027632713318,0.83456951379776,0.07113480567932129,0.7992159128189087,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,1.2987911701202393,0.8086631894111633,0.6783585548400879,0.6979162693023682,0.8078054785728455,0.665128767490387,17.81436538696289,0.03181891515851021,0.033215418457984924,0.031478919088840485,0.0310636255890131,0.03652481734752655,0.3708174228668213,0.3873390257358551,0.3725380003452301,0.37250250577926636,0.38750895857810974,0.5487074851989746,0.5693103075027466,0.5613627433776855,0.5542628169059753,0.5822643637657166,0.006265918258577585,0.006757049355655909,0.007186847273260355,0.006438249256461859,0.008036786690354347,0.05648123100399971,0.0728335753083229,0.07193122059106827,0.0607074610888958,0.0850638821721077,0.7853505611419678,0.6474344730377197,0.7468867301940918,0.6670629978179932,0.8978458046913147,0.7805600166320801,0.7796348333358765,0.6427246332168579
5,491,1196.1280517578125,1196.1341552734375,1196.1341552734375,1196.1341552734375,1196.1341552734375,3.3161277770996094,19.738178253173828,0.03625574707984924,0.03842385113239288,0.03728724271059036,0.03664205223321915,0.04082578420639038,0.42077478766441345,0.4625077247619629,0.4315580129623413,0.4215143620967865,0.45139941573143005,0.5581333041191101,0.582349956035614,0.5727558732032776,0.5641713738441467,0.5897554755210876,0.0055695404298603535,0.0097251757979393,0.007198975421488285,0.005805451888591051,0.010555104352533817,0.06662678718566895,0.08328451961278915,0.07291260361671448,0.06862153857946396,0.09328094124794006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8179791569709778,0.8666666746139526,0.0,0.9257425665855408,0.6421452164649963,0.7466763257980347,0.8726539611816406,0.8394545912742615,0.08229351043701172,0.7842457294464111,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,0.6563889384269714,0.8396507501602173,0.6973470449447632,0.715148389339447,0.8311651349067688,0.6898975968360901,17.94198226928711,0.028356656432151794,0.031129663810133934,0.030144289135932922,0.029106860980391502,0.03401925414800644,0.38343897461891174,0.3984717130661011,0.3847630023956299,0.38033634424209595,0.39677706360816956,0.5367301106452942,0.5531542897224426,0.5498716235160828,0.5433135628700256,0.5613564252853394,0.005570633336901665,0.0067399670369923115,0.006282723043113947,0.005303319543600082,0.007402610499411821,0.06461215764284134,0.08240312337875366,0.07220518589019775,0.058641478419303894,0.08492124080657959,0.7904794216156006,0.6437346339225769,0.7443159222602844,0.6639277935028076,0.8717809915542603,0.7701349854469299,0.7790027260780334,0.6334565877914429
6,573,1200.9146728515625,1200.9146728515625,1200.9146728515625,1200.9146728515625,1200.8963623046875,2.812032699584961,20.282215118408203,0.034479279071092606,0.03699497878551483,0.035499319434165955,0.034920088946819305,0.039892058819532394,0.44764444231987,0.4820927083492279,0.4588130712509155,0.44946473836898804,0.47692275047302246,0.538643479347229,0.5584160685539246,0.5497527122497559,0.5443222522735596,0.5652493238449097,0.006572976242750883,0.008315362967550755,0.0072809550911188126,0.006606463808566332,0.009596233256161213,0.07423900067806244,0.08865172415971756,0.07990890741348267,0.07565233111381531,0.10034111142158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8082360625267029,0.8884488344192505,0.0,0.9009901285171509,0.6241254210472107,0.7472468614578247,0.8619839549064636,0.7880010008811951,0.07808090001344681,0.7915452122688293,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,1.5455166101455688,0.8482388257980347,0.705198347568512,0.7234756350517273,0.8389616012573242,0.6981324553489685,18.603679656982422,0.028307011350989342,0.0294626597315073,0.02838534116744995,0.02851766347885132,0.03340359032154083,0.41004523634910583,0.4194008409976959,0.4147757291793823,0.4098343551158905,0.42770832777023315,0.5344452857971191,0.5504681468009949,0.5461593270301819,0.5425781607627869,0.559140682220459,0.005525695160031319,0.006752522196620703,0.006459703668951988,0.005218944046646357,0.007608394138514996,0.07375872880220413,0.07658954709768295,0.06724057346582413,0.06753995269536972,0.08108468353748322,0.7820832133293152,0.633012592792511,0.737841010093689,0.654000461101532,0.8329640030860901,0.7755149006843567,0.7733940482139587,0.6261639595031738
7,655,1200.280517578125,1200.280517578125,1200.280517578125,1200.280517578125,1200.280517578125,1.5892844200134277,19.834421157836914,0.033982470631599426,0.035497792065143585,0.034732647240161896,0.034344349056482315,0.038366060703992844,0.4330682158470154,0.4652784764766693,0.43884119391441345,0.43401607871055603,0.4589662253856659,0.5550593137741089,0.5793412327766418,0.570013165473938,0.5617358684539795,0.5855071544647217,0.005984593648463488,0.007727945223450661,0.006484402343630791,0.006166396196931601,0.008978791534900665,0.06862124800682068,0.08053210377693176,0.07229159772396088,0.07006583362817764,0.09227430075407028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7762954831123352,0.9326732754707336,0.0,0.8138613700866699,0.6309607028961182,0.7198797464370728,0.9223592281341553,0.8132278919219971,0.09011136740446091,0.7876285314559937,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,1.2952038049697876,0.7860211133956909,0.6481165289878845,0.6670891046524048,0.7771791219711304,0.6418542861938477,17.993650436401367,0.027461189776659012,0.029736904427409172,0.029668724164366722,0.02816096693277359,0.03334692493081093,0.3922034204006195,0.40917423367500305,0.38889437913894653,0.3910520076751709,0.4208172857761383,0.5193292498588562,0.5422835350036621,0.5260055661201477,0.5259590148925781,0.5567229986190796,0.006152634043246508,0.006266663316637278,0.00642461096867919,0.005558082368224859,0.007144335191696882,0.06742066144943237,0.07008383423089981,0.07028529047966003,0.05940714105963707,0.08135072886943817,0.7919461727142334,0.6332632303237915,0.6887096166610718,0.6524205207824707,0.8453251719474792,0.771522045135498,0.7770428657531738,0.615408718585968
8,737,1199.219482421875,1199.219482421875,1199.219482421875,1199.21337890625,1199.219482421875,2.2769601345062256,19.83782386779785,0.03181597962975502,0.0330682136118412,0.03253015875816345,0.032372597604990005,0.03563503175973892,0.4396504759788513,0.47656139731407166,0.44786080718040466,0.4399748146533966,0.46985286474227905,0.5303360819816589,0.5523508787155151,0.5438103079795837,0.536479115486145,0.5591375827789307,0.007079529110342264,0.009082773700356483,0.00784599594771862,0.007368858903646469,0.010290750302374363,0.0701766163110733,0.08323703706264496,0.0756911113858223,0.071781687438488,0.09684291481971741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7785354256629944,0.9168316721916199,0.302970290184021,0.7841584086418152,0.7219526767730713,0.7646051049232483,0.8942877054214478,0.8549885749816895,0.08947828412055969,0.8625534176826477,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,60.73684310913086,2.3221638202667236,0.8018918633460999,0.6660305261611938,0.6823399066925049,0.7925132513046265,0.6454697847366333,17.828176498413086,0.03039821796119213,0.029508797451853752,0.029666373506188393,0.030212407931685448,0.031921226531267166,0.38448846340179443,0.40929877758026123,0.3890240788459778,0.38501864671707153,0.41518086194992065,0.5084142684936523,0.5344173312187195,0.5239652395248413,0.5128933191299438,0.5402239561080933,0.00560664152726531,0.007187534123659134,0.005692629609256983,0.006215904839336872,0.00828736275434494,0.06686665862798691,0.07320655137300491,0.060875359922647476,0.06457439064979553,0.08443973958492279,0.8544883131980896,0.6786453723907471,0.7963488698005676,0.6971272826194763,0.9243500828742981,0.8487743139266968,0.8468619585037231,0.6561598777770996
9,819,1197.93896484375,1197.93896484375,1197.93896484375,1197.9268798828125,1197.8597412109375,1.746592402458191,19.465354919433594,0.03212789446115494,0.03403845801949501,0.03299787640571594,0.032563384622335434,0.03609533607959747,0.4306993782520294,0.4664439260959625,0.44054296612739563,0.433273047208786,0.4592077136039734,0.5245294570922852,0.5513815879821777,0.5379673838615417,0.5302022695541382,0.5577316284179688,0.00578609062358737,0.007759309373795986,0.0064114173874258995,0.006121383979916573,0.00914585031569004,0.06547749042510986,0.08007295429706573,0.07145904749631882,0.06839217245578766,0.09373006224632263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
